CO(GT),PT08.S1(CO),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,C6H6(GT)
0.64,807.0,658.0,33.0,1113.0,45.0,1328.0,428.0,32.4,26.3,1.2523,3.1
2.5,998.0,1119.0,207.0,832.0,120.0,1780.0,1057.0,31.6,24.1,1.0994,14.1
1.1,968.0,669.0,67.0,1261.0,81.0,1246.0,538.0,12.3,46.8,0.6686,3.3
0.9800000000000001,925.0,749.0,49.4,826.0,48.4,1482.0,739.0,23.5,58.3,1.6672,4.7
1.9,1100.0,1022.0,492.0,752.0,193.0,1101.0,1367.0,12.2,30.0,0.4245,11.2
2.8,1171.0,1064.0,160.0,881.0,110.0,1639.0,1097.0,16.0,42.4,0.7674,12.4
1.4,1097.0,721.0,183.0,746.0,96.0,1266.0,807.0,21.6,46.8,1.1959,4.2
0.7,844.0,538.0,158.0,1164.0,109.0,726.0,479.0,3.7,35.2,0.2833,1.4
4.0,1305.0,1188.0,403.6,546.0,124.8,1843.0,1524.0,31.0,33.1,1.462,16.3
1.6,1235.0,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,6.4
3.6,1384.0,1386.0,435.0,504.0,88.0,1833.0,1404.0,17.8,65.4,1.3213,23.3
1.5,1045.0,800.0,206.0,796.0,109.0,1193.0,839.0,14.4,57.1,0.9309,5.7
2.1,1121.0,955.0,130.0,992.0,99.0,1451.0,834.0,17.8,29.2,0.592,9.4
4.7,1418.0,1471.0,728.0,542.0,177.0,2064.0,1600.0,27.1,42.2,1.4949,26.7
5.0,1553.0,1354.0,358.0,621.0,142.0,2030.0,1895.0,19.1,42.1,0.9233,22.1
0.9600000000000002,926.0,707.0,52.8,1130.0,58.2,1429.0,532.0,19.3,46.6,1.0298,3.9
1.0,879.0,722.0,196.6,1014.0,112.4,878.0,873.0,6.3,44.7,0.4293,4.2
1.5,966.0,874.0,171.0,969.0,95.0,1682.0,999.0,19.8,59.4,1.3554,7.4
0.5,812.0,541.0,89.0,1309.0,70.0,774.0,616.0,5.2,45.9,0.4099,1.5
0.4,732.0,503.0,22.6,1525.0,34.0,1321.0,441.0,21.0,47.1,1.1546,1.0
2.0799999999999996,1053.0,1072.0,153.6,733.0,122.6,1495.0,832.0,20.9,40.3,0.9866,12.7
4.4,1326.0,1223.0,854.0,547.0,190.0,1381.0,1613.0,8.3,50.5,0.5558,17.4
0.8,831.0,679.0,37.0,1143.0,60.0,1291.0,526.0,33.8,21.9,1.1303,3.4
1.8,1279.0,870.0,106.0,911.0,81.0,1646.0,1000.0,18.9,49.6,1.07,7.3
0.7600000000000001,840.0,552.0,104.4,1152.0,79.0,893.0,510.0,8.5,46.7,0.5191,1.6
3.8,1407.0,1249.0,213.0,720.0,129.0,1932.0,1276.0,17.0,43.1,0.8264,18.3
1.3,973.0,761.0,235.0,862.0,156.0,865.0,682.0,12.2,24.0,0.3392,4.9
2.2600000000000002,1111.0,993.0,385.0,662.0,159.8,1287.0,1058.0,13.0,53.9,0.8029,10.4
5.5,1513.0,1457.0,706.0,463.0,163.0,2125.0,1393.0,19.7,82.2,1.8669,26.1
2.7,1184.0,954.0,416.0,701.0,124.0,1313.0,1133.0,12.1,64.8,0.9135,9.4
3.7,1321.0,1175.0,494.0,525.0,212.0,1366.0,1279.0,25.1,21.8,0.6854,15.8
0.7,774.0,583.0,98.0,1246.0,57.0,966.0,457.0,16.6,38.2,0.7186,2.0
5.3,1545.0,1403.0,571.0,407.0,223.0,1743.0,1821.0,16.7,42.5,0.8002,24.0
1.5,912.0,730.0,274.0,959.0,157.0,893.0,821.0,7.7,39.0,0.4106,4.3
0.9400000000000001,926.0,769.0,60.0,836.0,57.0,1467.0,801.0,24.0,55.6,1.6381,5.1
0.6,797.0,606.0,26.0,1452.0,35.0,1076.0,368.0,22.2,18.9,0.4993,2.3
0.1,1053.0,671.0,132.0,807.0,88.0,1137.0,570.0,10.6,66.1,0.8444,3.3
0.8,930.0,609.0,120.0,968.0,90.0,864.0,928.0,5.7,50.1,0.4629,2.4
2.9,1315.0,1261.0,341.0,535.0,88.0,1830.0,1554.0,22.3,60.6,1.6069,18.7
0.38,803.0,586.0,50.4,1442.0,50.2,1232.0,573.0,18.0,40.9,0.8394,2.0
0.3,718.0,499.0,27.8,1495.0,21.6,1059.0,382.0,15.3,52.4,0.9017,1.0
3.1,1341.0,1176.0,167.0,748.0,135.0,1825.0,1347.0,22.9,33.8,0.9322,15.9
1.1400000000000001,997.0,823.0,154.0,804.0,59.8,1395.0,894.0,18.1,68.5,1.4067,6.2
2.6,1293.0,1114.0,326.0,584.0,88.0,1702.0,1704.0,25.1,56.0,1.7565,13.9
1.4600000000000002,975.0,891.0,190.6,814.0,77.2,1361.0,911.0,15.8,57.6,1.0271,7.8
1.5,1088.0,948.0,69.0,743.0,77.0,1667.0,766.0,30.7,38.7,1.678,9.2
2.4,1175.0,1040.0,362.0,582.0,153.0,1268.0,1185.0,23.1,22.8,0.6346,11.7
1.6,1095.0,923.0,109.0,843.0,98.0,1736.0,999.0,29.3,35.9,1.4411,8.6
0.9199999999999999,896.0,820.0,133.2,1074.0,81.0,1439.0,833.0,16.6,49.7,0.9295,6.2
2.9,1111.0,1126.0,160.0,754.0,124.0,1883.0,1076.0,27.3,37.5,1.342,14.3
